[03-20 10:06:11.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:11.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:11.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:12.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:12.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:12.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:13.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:13.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:13.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:14.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:14.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:14.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:15.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:15.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:15.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:16.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:16.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:16.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:17.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:17.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:17.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:18.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:18.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:18.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:19.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:19.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:19.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:20.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:20.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:20.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:21.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:21.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:21.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:22.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:22.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:22.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:23.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:23.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:23.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:24.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:24.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:24.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:25.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:25.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:25.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:26.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:26.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:26.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:27.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:27.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:27.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:28.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:28.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:28.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:29.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:29.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:29.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:30.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:30.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:30.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:31.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:31.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:31.879][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:32.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:32.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
